,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12
Neuron_1,4.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0
Neuron_2,4.0,2.0,1.0,3.0,2.0,6.0,1.0,1.0,2.0,2.0,1.0,3.0
Neuron_3,4.0,1.0,3.0,1.0,4.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0
Neuron_4,1.0,5.0,4.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0
Neuron_5,0.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0
Neuron_6,3.0,1.0,4.0,2.0,0.0,4.0,5.0,2.0,0.0,0.0,1.0,1.0
Neuron_7,2.0,2.0,5.0,1.0,2.0,4.0,1.0,2.0,1.0,4.0,5.0,2.0
Neuron_8,1.0,3.0,2.0,5.0,5.0,5.0,1.0,0.0,1.0,2.0,1.0,0.0
Neuron_9,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,4.0,1.0,3.0
Neuron_10,4.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0
